"Friday,
 August 1","Session","Room","Chair"
"08:30–12:15","Registration Desk Open","HH Lobby",""
"09:00–11:00 — Morning Parallel Sessions Track A","Forward and Inverse Problems for Stochastic Reaction Networks","HH Auditorium","Sophia Münker"
"09:00–11:00 — Morning Parallel Sessions Track B","Hardware or Software for (Quasi-)Monte Carlo Algorithms, Part II","HH Ballroom","Sou-Cheng Choi"
"09:00–11:00 — Morning Parallel Sessions Track C","Technical Session 3 - Simulation","PH Auditorium","Nicole Aretz"
"09:00–11:00 — Morning Parallel Sessions Track D","Technical Session 9 - Sampling","WH Auditorium","Soumyadip Ghosh"
"09:00–11:00 — Morning Parallel Sessions Track E","Technical Session 14 - Markov Chain Monte Carlo","HH Alumni Lounge","TBD"
"11:00–11:30 — Coffee Break","Coffee Break","HH Lobby",""
"11:30–12:30 — Afternoon Plenary Lecture","Veronika Ročková","HH Auditorium","Art Owen"
"12:30–12:40 - Closing","Closing Ceremony","HH Auditorium","Fred Hickernell"
